name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
1INCH-PERP,True,False,0.0001,1.0,1.0,1.1701,1.1699,1.1702,1.1701,future,,False,,1INCH,False,False,500.0,-0.00990015231003554,0.006884089148954479,8.547008547008547e-05,8195683.6524,8195683.6524,1.214,1.12,
1INCH-0624,True,False,0.0001,1.0,1.0,1.1477,1.1474,1.1493,1.1477,future,,False,,1INCH,False,False,500.0,-0.010518148116216916,0.00808080808080808,0.0,53578.1753,53578.1753,1.1891,1.0983,
1INCH/USD,True,False,0.0001,1.0,1.0,1.1713,1.1712,1.1725,1.1713,spot,1INCH,False,USD,,False,True,500.0,-0.009638961697810096,0.008524194937144826,-0.0003413843133907997,1207253.4406,1207253.4406,1.2156,1.1214,
AAPL-0624,True,False,0.01,0.01,0.01,158.26,157.49,158.16,158.16,future,,False,,AAPL,True,False,500.0,0.0004427857549497122,0.0030441400304414,6.323110970597533e-05,123485.9422,123485.9422,161.28,153.36,True
AAPL/USD,True,False,0.01,0.01,0.01,158.05,158.0,158.34,158.05,spot,AAPL,False,USD,,True,True,500.0,0.0,-0.0026503439136745127,0.0,27023.7858,27023.7858,159.61,153.52,True
AAVE-PERP,True,False,0.01,0.01,0.01,143.86,143.87,143.91,143.87,future,,False,,AAVE,False,False,2000.0,-0.004359861591695502,-0.023683496199782845,0.0011133532809129497,21699846.1252,21699846.1252,148.93,138.97,
AAVE-0624,True,False,0.01,0.01,0.01,145.35,144.0,145.13,145.13,future,,False,,AAVE,False,False,2000.0,-0.001307459399944949,-0.018927871290475226,0.0,28853.1307,28853.1307,149.04,140.42,
AAVE/USD,True,False,0.01,0.01,0.01,143.84,143.81,143.89,143.84,spot,AAVE,False,USD,,False,True,2000.0,-0.004636357345512421,-0.023820834747200544,0.0008349568605622043,3682825.1375,3682825.1375,148.89,139.06,
AAVE/USDT,True,False,0.01,0.01,0.01,144.06,143.72,143.97,143.97,spot,AAVE,False,USDT,,False,True,2000.0,-0.004012452438602559,-0.023336272980123467,0.0014607679465776294,464671.2203,464622.4298218685,148.88,139.04,
ABNB-0624,True,False,0.005,0.025,0.025,153.33,153.65,154.345,153.65,future,,False,,ABNB,True,False,500.0,0.0020870018913454642,-0.002467051873011751,-0.00019521082769390942,13067.18675,13067.18675,155.4,147.555,True
ABNB/USD,True,False,0.005,0.025,0.025,152.89,153.53,154.265,153.53,spot,ABNB,False,USD,,True,True,500.0,0.0026776384535005223,-0.00701743039161789,0.0,49.68925,49.68925,155.05,147.71,True
ACB-0624,True,False,0.001,0.1,0.1,3.126,3.127,3.142,3.127,future,,False,,ACB,True,False,500.0,0.0003198976327575176,0.029634507737899243,0.0,5564.2625,5564.2625,3.137,2.922,True
ACB/USD,True,False,0.001,0.1,0.1,3.07,3.127,3.148,3.127,spot,ACB,False,USD,,True,True,500.0,0.008709677419354838,0.023567921440261867,0.0,9730.4573,9730.4573,3.141,2.925,True
ADA-PERP,True,False,5e-06,1.0,1.0,0.77991,0.779995,0.780215,0.779995,future,,False,,ADA,False,False,5000.0,-0.003945931795398967,-0.013120520265953072,0.0004938366619207039,59873814.11314,59873814.11314,0.79678,0.76364,
ADA-0624,True,False,5e-06,1.0,1.0,0.777685,0.77735,0.777695,0.777685,future,,False,,ADA,False,False,5000.0,-0.004027765326639602,-0.010528525624713726,0.00041808171246269425,602018.945995,602018.945995,0.793145,0.761965,
AGLD-PERP,True,False,0.0005,0.1,0.1,0.9525,0.9505,0.9525,0.9525,future,,False,,AGLD,False,False,500.0,-0.0005246589716684155,0.00315955766192733,0.0005252100840336134,1566736.3603,1566736.3603,1.0145,0.9215,
AGLD/USD,True,False,0.0005,0.1,0.1,0.9535,0.9505,0.9525,0.9525,spot,AGLD,False,USD,,False,True,500.0,-0.0015723270440251573,0.004746835443037975,-0.0005246589716684155,29830.003,29830.003,1.011,0.9235,
AKRO/USD,True,False,5e-06,1.0,1.0,0.00846,0.00843,0.008475,0.00846,spot,AKRO,False,USD,,False,True,500.0,0.0005913660555884093,-0.02422145328719723,0.0,7207.2357,7207.2357,0.00887,0.00802,
AKRO/USDT,True,False,5e-06,1.0,1.0,0.008445,0.00841,0.00849,0.008445,spot,AKRO,False,USDT,,False,True,500.0,-0.00530035335689046,-0.03098106712564544,-0.00530035335689046,4659.38204,4658.8928048858,0.00886,0.00807,
ALCX-PERP,True,False,0.1,0.001,0.001,63.5,63.5,63.6,63.5,future,,False,,ALCX,False,False,500.0,-0.0078125,-0.020061728395061727,0.0,691459.3274,691459.3274,65.7,62.6,
ALCX/USD,True,False,0.1,0.001,0.001,63.6,63.5,63.7,63.6,spot,ALCX,False,USD,,False,True,500.0,-0.0078003120124804995,-0.018518518518518517,0.0,23736.0045,23736.0045,65.9,62.8,
ALEPH/USD,True,False,5e-05,1.0,1.0,0.2612,0.2612,0.26125,0.2612,spot,ALEPH,False,USD,,False,True,500.0,0.0,-0.0009562057754828839,0.0,20378.23585,20378.23585,0.26195,0.26,
ALGO-PERP,True,False,0.0001,1.0,1.0,0.6155,0.6153,0.6155,0.6155,future,,False,,ALGO,False,False,2000.0,-0.006296415886341621,0.01954613218486003,0.001464367068011715,38601898.2784,38601898.2784,0.6476,0.5795,
ALGO-0624,True,False,0.0001,1.0,1.0,0.62,0.6157,0.6192,0.6192,future,,False,,ALGO,False,False,2000.0,-0.008486789431545237,0.024317617866004962,-0.0012903225806451613,49674.6073,49674.6073,0.6475,0.5823,
ALGO/USD,True,False,0.0001,1.0,1.0,0.6166,0.6151,0.6157,0.6157,spot,ALGO,False,USD,,False,True,2000.0,-0.007895584917821464,0.020215410107705053,-0.000324728040266277,2350663.7915,2350663.7915,0.6473,0.5801,
ALGO/USDT,True,False,0.0001,1.0,1.0,0.6159,0.6152,0.6158,0.6158,spot,ALGO,False,USDT,,False,True,2000.0,-0.007574536663980661,0.020888594164456233,0.0013008130081300813,559417.8574,559359.118524973,0.6471,0.5801,
ALICE-PERP,True,False,0.0025,0.1,0.1,4.9275,4.925,4.9275,4.9275,future,,False,,ALICE,False,False,500.0,-0.004545454545454545,-0.036656891495601175,0.00254323499491353,3482436.31025,3482436.31025,5.22,4.74,
ALICE/USD,True,False,0.0025,0.1,0.1,4.9225,4.9175,4.9275,4.9225,spot,ALICE,False,USD,,False,True,500.0,-0.00455005055611729,-0.038104543234000976,0.0005081300813008131,169930.31225,169930.31225,5.2225,4.74,
ALPHA-PERP,True,False,5e-05,1.0,1.0,0.27905,0.2791,0.2793,0.2791,future,,False,,ALPHA,False,False,500.0,-0.003570153516601214,-0.02378454004896817,-0.00035816618911174784,3182039.81095,3182039.81095,0.2907,0.26685,
ALPHA/USD,True,False,5e-05,1.0,1.0,0.27915,0.27905,0.2792,0.27915,spot,ALPHA,False,USD,,False,True,500.0,-0.003569516330537212,-0.024121657052962767,0.0,118588.5895,118588.5895,0.29115,0.26725,
ALT-PERP,True,False,0.05,0.001,0.001,3105.85,3106.15,3106.9,3106.15,future,,False,,ALT,False,False,1000.0,-0.0010291540032482673,-0.0029371168105800406,0.0003381533606003027,12388994.20015,12388994.20015,3150.0,3025.75,
ALT-0624,True,False,0.05,0.001,0.001,3085.3,3081.4,3087.55,3085.3,future,,False,,ALT,False,False,1000.0,0.0,-0.0011977986403366786,0.00017829645838398573,129036.5757,129036.5757,3123.35,3000.0,
AMC-0624,True,False,0.0025,0.1,0.1,15.085,15.19,15.295,15.19,future,,False,,AMC,True,False,500.0,0.0023094688221709007,-0.00718954248366013,0.0014834349761002142,5247.057,5247.057,15.64,14.7325,True
AMC/USD,True,False,0.0025,0.1,0.1,15.3425,15.28,15.34,15.34,spot,AMC,False,USD,,True,True,500.0,0.003926701570680628,-0.003896103896103896,0.0,2314.1225,2314.1225,15.56,14.7475,True
AMD-0624,True,False,0.01,0.01,0.01,90.67,90.72,91.11,90.72,future,,False,,AMD,True,False,500.0,0.002652519893899204,0.053169259345251914,0.0003307972213033411,5795.4825,5795.4825,90.77,85.08,True
AMD/USD,True,False,0.01,0.01,0.01,90.68,90.67,90.99,90.68,spot,AMD,False,USD,,True,True,500.0,0.0020996795225991824,0.0502663886958536,-0.0002205071664829107,7953.8254,7953.8254,90.77,85.07,True
AMPL-PERP,True,False,0.0001,10.0,10.0,1.0463,1.0463,1.0474,1.0463,future,,False,,AMPL,False,False,500.0,-0.00513454407150328,0.00038244574051056506,-0.0010502195913691045,517154.287,517154.287,1.0898,1.0285,
AMPL/USD,True,False,0.0001,1.0,1.0,1.049,1.0476,1.049,1.049,spot,AMPL,False,USD,,False,True,500.0,-0.0019029495718363464,0.0012408132098883269,0.0,195812.937,195812.937,1.0555,1.0282,
AMPL/USDT,True,False,0.0001,1.0,1.0,1.0492,1.047,1.0492,1.0492,spot,AMPL,False,USDT,,False,True,500.0,-0.00038109756097560977,0.005077114666155762,0.0,140477.6334,140462.883248493,1.055,1.0249,
AMZN-0624,True,False,0.1,0.001,0.001,2489.6,2475.5,2486.0,2486.0,future,,False,,AMZN,True,False,500.0,-0.0014460154241645244,0.00040241448692152917,0.0014098690835850957,60224.3129,60224.3129,2501.3,2376.5,True
AMZN/USD,True,False,0.1,0.001,0.001,2484.3,2477.6,2483.8,2483.8,spot,AMZN,False,USD,,True,True,500.0,-0.0005633349428617416,-0.003130518542302135,0.00044306601683650863,29073.6278,29073.6278,2500.8,2373.0,True
ANC-PERP,True,False,0.00025,1.0,1.0,1.72525,1.7245,1.72575,1.72525,future,,False,,ANC,False,False,500.0,0.004658611151550444,0.02586591348297904,0.0004349086691794723,4316346.4125,4316346.4125,1.7615,1.6605,
ANC/USD,True,False,0.00025,1.0,1.0,1.72225,1.72225,1.726,1.72225,spot,ANC,False,USD,,False,True,500.0,0.004959883296863603,0.025148809523809525,0.0,178657.29175,178657.29175,1.75975,1.6605,
APE-PERP,True,False,0.0005,0.1,0.1,15.1635,15.157,15.1635,15.1635,future,,False,,APE,False,False,500.0,0.005970743357548014,-0.05538078180968697,0.012249666221628838,528470970.9743,528470970.9743,17.35,14.2035,
APE/USD,True,False,0.0005,0.1,0.1,15.162,15.1545,15.1675,15.162,spot,APE,False,USD,,False,True,500.0,0.003840042372881356,-0.05184166093427553,0.0013869625520110957,36061558.71905,36061558.71905,17.3425,14.21,
APHA/USD,True,False,0.001,0.1,0.1,4.129,4.36,4.379,4.36,spot,APHA,False,USD,,True,True,500.0,0.0006885471654808355,0.034892000949442205,0.0016080863772111188,348.5567,348.5567,4.383,4.096,True
AR-PERP,True,False,0.001,0.1,0.1,24.683,24.678,24.699,24.683,future,,False,,AR,False,False,500.0,-0.005639930709422713,-0.017904746747304343,0.00012155591572123176,4646183.2046,4646183.2046,25.435,22.924,
ARKK-0624,True,False,0.01,0.01,0.01,50.14,50.13,50.34,50.14,future,,False,,ARKK,True,False,500.0,0.0,0.04983249581239531,-0.00019940179461615153,7278.6904,7278.6904,50.35,46.61,True
ARKK/USD,True,False,0.01,0.01,0.01,50.34,50.11,50.29,50.29,spot,ARKK,False,USD,,True,True,500.0,0.0001988862370723946,0.05187199330683957,0.0,34672.9547,34672.9547,50.34,46.59,True
ASD-PERP,True,False,1e-05,0.1,0.1,0.18117,0.18117,0.18144,0.18117,future,,False,,ASD,False,False,500.0,-0.0020381183210311776,0.014560116480931848,0.0,87414.237827,87414.237827,0.18308,0.1776,
ASD/USD,True,False,1e-05,0.1,0.1,0.18143,0.18137,0.18169,0.18143,spot,ASD,False,USD,,False,True,500.0,-0.0014310088612471794,0.013575418994413408,0.0,25977.598675,25977.598675,0.18201,0.179,
ATLAS-PERP,True,False,2.5e-07,10.0,10.0,0.01682825,0.01680525,0.01683625,0.01682825,future,,False,,ATLAS,False,False,500.0,-0.0005938859442044156,-0.012629448176724265,-0.00026733599679196803,918103.2346975,918103.2346975,0.01742075,0.0165105,
ATLAS/USD,True,False,2.5e-07,10.0,10.0,0.01679575,0.016801,0.0168405,0.016801,spot,ATLAS,False,USD,,False,True,500.0,-0.0015599696920174121,-0.0159748151402006,0.0,506430.4827775,506430.4827775,0.01761875,0.01649725,
ATOM-PERP,True,False,0.0005,0.01,0.01,17.7525,17.752,17.754,17.7525,future,,False,,ATOM,False,False,5000.0,-0.010175634234736549,-0.020929847782925216,0.00042265426880811494,61709225.27232,61709225.27232,18.3585,17.213,
