name,baseCurrency,quoteCurrency,type,bid,change1h
1INCH/USD,1INCH,USD,spot,1.1878,-0.004517316379454576
AAPL/USD,AAPL,USD,spot,158.05,-0.0006954542580767529
AAVE/USD,AAVE,USD,spot,145.77,0.005516100117217128
AAVE/USDT,AAVE,USDT,spot,145.69,0.005791505791505791
ABNB/USD,ABNB,USD,spot,152.27,0.0
ACB/USD,ACB,USD,spot,3.077,-0.003562176165803109
AGLD/USD,AGLD,USD,spot,0.956,0.01483836777954425
AKRO/USD,AKRO,USD,spot,0.008455,0.02671523982999393
AKRO/USDT,AKRO,USDT,spot,0.008465,0.034713763702801465
ALCX/USD,ALCX,USD,spot,64.1,0.009433962264150943
ALEPH/USD,ALEPH,USD,spot,0.2612,0.0
ALGO/USD,ALGO,USD,spot,0.6277,0.036414565826330535
ALGO/USDT,ALGO,USDT,spot,0.628,0.036243822075782535
ALICE/USD,ALICE,USD,spot,4.965,0.018433179723502304
ALPHA/USD,ALPHA,USD,spot,0.2816,0.015852999459556837
AMC/USD,AMC,USD,spot,15.24,-0.0026109660574412533
AMD/USD,AMD,USD,spot,90.4,-0.001104728236853734
AMPL/USD,AMPL,USD,spot,1.0469,0.014011015557058653
AMPL/USDT,AMPL,USDT,spot,1.0429,0.017574521798232837
AMZN/USD,AMZN,USD,spot,2485.2,8.047642040882022e-05
ANC/USD,ANC,USD,spot,1.714,0.013425789318383004
APE/USD,APE,USD,spot,14.892,0.01588383666234917
APHA/USD,APHA,USD,spot,4.357,0.0018395033340997931
ARKK/USD,ARKK,USD,spot,50.05,0.0
ASD/USD,ASD,USD,spot,0.18148,0.0007719878687620623
ATLAS/USD,ATLAS,USD,spot,0.0167825,0.008760725502276587
ATOM/USD,ATOM,USD,spot,17.99,0.010810051944405447
ATOM/USDT,ATOM,USDT,spot,17.9775,0.012784490025288002
AUDIO/USD,AUDIO,USD,spot,0.84915,0.018812533700796837
AUDIO/USDT,AUDIO,USDT,spot,0.84835,0.019832234871180347
AURY/USD,AURY,USD,spot,7.261,-0.0006881128505074832
AVAX/BTC,AVAX,BTC,spot,0.0015682,0.009592480525333161
AVAX/USD,AVAX,USD,spot,60.7035,0.015216373486723295
AVAX/USDT,AVAX,USDT,spot,60.678,0.015180392550239074
AXS/USD,AXS,USD,spot,30.401,0.01667223521550284
BABA/USD,BABA,USD,spot,101.95,0.0044204322200392925
BADGER/USD,BADGER,USD,spot,7.78,0.014304291287386216
BAL/USD,BAL,USD,spot,12.745,0.011300555114988104
BAL/USDT,BAL,USDT,spot,12.74,0.011892963330029732
BAND/USD,BAND,USD,spot,3.073,0.018867924528301886
BAO/USD,BAO,USD,spot,0.000133,0.0
BAR/USD,BAR,USD,spot,5.14,0.018821198613174838
BAT/JPY,BAT,JPY,spot,77.0525,0.017902897312922935
BAT/USD,BAT,USD,spot,0.591825,0.018726109178370486
BB/USD,BB,USD,spot,5.805,0.0021579628830384117
BCH/BTC,BCH,BTC,spot,0.007396,0.003797125033902902
BCH/JPY,BCH,JPY,spot,37268.46,0.011275358567147849
BCH/USD,BCH,USD,spot,286.425,0.010405643738977073
BCH/USDT,BCH,USDT,spot,286.425,0.010495678250132298
BICO/USD,BICO,USD,spot,1.0486,0.020336674126690667
BILI/USD,BILI,USD,spot,24.435,0.0014344262295081967
BIT/USD,BIT,USD,spot,1.21375,0.0091324200913242
BITO/USD,BITO,USD,spot,24.08,0.008375209380234505
BITW/USD,BITW,USD,spot,26.82,0.009789156626506024
BLT/USD,BLT,USD,spot,0.2755,0.0
BNB/BTC,BNB,BTC,spot,0.0100677,0.0008448884250285771
BNB/USD,BNB,USD,spot,390.033,0.008323833306190399
BNB/USDT,BNB,USDT,spot,390.012,0.008451446825667586
BNT/USD,BNT,USD,spot,2.0055,0.014155712841253791
BNTX/USD,BNTX,USD,spot,145.88,0.003370245546461242
BOBA/USD,BOBA,USD,spot,0.9095,0.010537992235163616
BRZ/USD,BRZ,USD,spot,0.19534,0.0013287678233760924
BRZ/USDT,BRZ,USDT,spot,0.19531,0.0004081840910250523
BTC/BRZ,BTC,BRZ,spot,197635.0,0.005111122412653207
BTC/EUR,BTC,EUR,spot,36808.0,0.006173345352235789
BTC/JPY,BTC,JPY,spot,5043508.11,0.005166918355926161
BTC/TRYB,BTC,TRYB,spot,588460.4,0.004960268740195076
BTC/USD,BTC,USD,spot,38721.0,0.006027539620680696
BTC/USDT,BTC,USDT,spot,38714.0,0.005662631825029872
BTT/USD,BTT,USD,spot,1.7e-06,0.005847953216374269
BYND/USD,BYND,USD,spot,37.98,-0.004456094364351245
C98/USD,C98,USD,spot,1.1581,0.018333333333333333
CAD/USD,CAD,USD,spot,0.7769,0.0001287001287001287
CEL/BTC,CEL,BTC,spot,5.432e-05,-0.008001454809965449
CEL/USD,CEL,USD,spot,2.1115,0.002128162686214235
CGC/USD,CGC,USD,spot,5.9975,0.007559848803023939
CHR/USD,CHR,USD,spot,0.34515,0.02349290780141844
CHZ/USD,CHZ,USD,spot,0.179385,0.015780453730465327
CHZ/USDT,CHZ,USDT,spot,0.179253,0.018207663642438865
CITY/USD,CITY,USD,spot,12.0325,0.024846039498832025
CLV/USD,CLV,USD,spot,0.267,0.013257575757575758
COIN/USD,COIN,USD,spot,121.68,0.004568465242622546
COMP/USD,COMP,USD,spot,105.03,0.01889351806995446
COMP/USDT,COMP,USDT,spot,105.02,0.019476744186046512
CONV/USD,CONV,USD,spot,0.00241,0.016877637130801686
